date,user_id,monthly_income,monthly_expense_total,savings_rate,budget_goal,financial_scenario,credit_score,debt_to_income_ratio,loan_payment,investment_amount,subscription_services,emergency_fund,transaction_count,fraud_flag,discretionary_spending,essential_spending,income_type,rent_or_mortgage,category,cash_flow_status,financial_advice_score,financial_stress_level,actual_savings,savings_goal_met,surplus,expense_ratio,debt_pressure
2019-01-01,1584,3119.58,4270.05,0.38,3676.11,inflation,721.0,0.56,125.77,689.22,3,510.58,68,0,857.55,1910.85,Freelance,1501.65,Investments,Positive,8.3,Low,0.0,0,-1150.4700000000003,136.87900294270383,4.031632463344424
2019-01-31,1045,3262.44,5302.88,0.1,2607.17,inflation,670.0,0.42,454.19,360.34,4,1154.41,41,0,534.51,3165.2,Salary,1603.17,Investments,Positive,22.6,Low,0.0,0,-2040.44,162.54337244516375,13.9217885999436
2019-03-02,1756,2931.2,2956.05,0.15,3004.14,inflation,691.0,0.24,971.82,0.0,5,1433.02,90,0,353.67,1504.56,Freelance,1097.82,Healthcare,Positive,58.8,Low,0.0,0,-24.850000000000364,100.84777565502185,33.15433951965066
2019-04-01,1724,3506.79,3200.44,0.17,3346.97,normal,717.0,0.16,482.76,182.06,5,227.37,94,0,594.08,1450.72,Freelance,1155.64,Groceries,Positive,74.5,Low,1179.2,0,306.3499999999999,91.26409052153109,13.76643597135842
2019-05-01,1600,4606.87,2727.72,0.34,2670.09,inflation,795.0,0.25,263.74,342.78,9,589.81,73,0,556.86,1000.0,Salary,1170.86,Utilities,Negative,38.7,High,2424.29,0,1879.15,59.209832272236895,5.724928205050284
2019-05-31,1985,4028.39,3309.7200000000003,0.26,2079.72,recession,643.0,0.43,323.2,451.11,8,1131.03,56,0,431.04,2330.01,Salary,548.67,Healthcare,Positive,53.7,Medium,151.82,0,718.6699999999996,82.15987032040097,8.023056357502625
2019-06-30,1194,4145.45,3940.84,0.15,2215.8,normal,683.0,0.3,609.88,730.42,8,995.12,69,0,443.5,2860.3,Freelance,637.04,Transportation,Positive,74.7,High,1109.84,0,204.60999999999967,95.0642270441086,14.712033675475523
2019-07-30,1600,3202.37,5582.610000000001,0.25,3650.48,normal,655.0,0.24,524.64,224.15,4,732.71,65,0,602.88,3526.55,Salary,1453.18,Entertainment,Neutral,83.1,Medium,512.86,0,-2380.2400000000007,174.32745123143175,16.382866439543214
2019-08-29,1835,4765.11,4913.07,0.06,2813.81,normal,715.0,0.52,103.3,0.0,7,1623.05,99,0,733.67,2503.65,Salary,1675.75,Education,Negative,71.6,Low,2136.55,0,-147.96000000000004,103.10506997739822,2.167840826339791
2019-09-28,1454,3581.79,2837.76,0.13,2195.92,normal,749.0,0.52,643.48,261.39,9,1057.1,91,0,464.34,1691.26,Salary,682.16,Entertainment,Positive,77.9,High,210.99,0,744.0299999999997,79.22742539344854,17.96531901646942
