monthly_income,credit_score,rent_or_mortgage,essential_spending,discretionary_spending,risk_level,risk_band
3119.58,721.0,1501.65,1910.85,857.55,1,Medium Risk
3262.44,670.0,1603.17,3165.2,534.51,1,Medium Risk
2931.2,691.0,1097.82,1504.56,353.67,1,Medium Risk
3506.79,717.0,1155.64,1450.72,594.08,0,Low Risk
4606.87,795.0,1170.86,1000.0,556.86,0,Low Risk
4028.39,643.0,548.67,2330.01,431.04,0,Low Risk
4145.45,683.0,637.04,2860.3,443.5,1,Medium Risk
3202.37,655.0,1453.18,3526.55,602.88,2,High Risk
4765.11,715.0,1675.75,2503.65,733.67,0,Low Risk
3581.79,749.0,682.16,1691.26,464.34,0,Low Risk
3832.71,611.0,1254.48,3029.36,585.69,1,Medium Risk
2136.79,669.0,773.98,2492.21,283.44,1,Medium Risk
5462.92,670.0,1502.86,1483.81,582.65,0,Low Risk
2110.66,647.0,790.3,3236.23,309.46,2,High Risk
3507.29,739.0,1009.85,2825.21,248.39,1,Medium Risk
2098.58,620.0,868.9,1332.65,494.7,2,High Risk
3677.65,631.0,1284.68,2576.38,362.3,1,Medium Risk
1884.19,676.0,1187.56,2517.59,633.22,2,High Risk
3697.31,743.0,919.0,2177.0,516.89,1,Medium Risk
4726.33,691.0,929.73,1850.42,478.5,0,Low Risk
2911.22,631.0,1501.13,1737.44,755.99,1,Medium Risk
3972.53,759.0,1187.25,2305.04,563.8,1,Medium Risk
5136.85,694.0,943.32,2900.43,435.07,0,Low Risk
4124.22,706.0,839.09,1682.26,643.02,0,Low Risk
4622.48,661.0,903.63,1651.01,260.55,0,Low Risk
4859.63,609.0,1611.29,1921.24,186.89,0,Low Risk
5414.37,665.0,964.77,2460.65,468.01,0,Low Risk
6042.51,620.0,423.02,1975.73,383.93,0,Low Risk
4422.94,662.0,1618.9,1000.0,809.16,0,Low Risk
4012.76,617.0,489.72,1375.03,183.69,0,Low Risk
3163.61,619.0,1197.82,2389.84,220.76,1,Medium Risk
2980.36,690.0,1127.79,2709.84,96.31,1,Medium Risk
3515.99,633.0,1042.06,2536.01,482.87,1,Medium Risk
3855.03,736.0,994.3,2030.87,352.05,0,Low Risk
3725.58,771.0,834.94,1675.65,0.0,0,Low Risk
5423.61,718.0,1768.19,2287.09,546.81,0,Low Risk
5273.97,602.0,1370.0,2573.98,547.92,0,Low Risk
4276.99,731.0,866.95,2102.28,482.68,0,Low Risk
4781.39,691.0,1530.57,2368.1,119.8,0,Low Risk
4457.69,632.0,1607.09,2333.02,469.88,1,Medium Risk
3782.73,689.0,1181.67,2092.8,260.49,1,Medium Risk
3933.49,635.0,1213.39,3256.12,598.5,1,Medium Risk
4047.29,599.0,969.63,1979.19,662.09,0,Low Risk
